cluster_id,start_date,end_date,length_days,n_high_days,max_vol_z,avg_ret_%,post_1d_%,post_3d_%,post_5d_%,pump_dump,pump_pct_%,dump_pct_%,time_to_peak_days,time_to_dump_days
14,2021-01-11,2021-01-15,5,1,1.942723852653305,3.886487840836023,6.949806949806958,-0.9652509652509633,13.127413127413146,0,,,,
15,2021-01-18,2021-01-22,5,2,4.00593615718142,1.5875159085042752,6.9965870307167055,22.01365187713311,5.631399317406149,0,5.776173285198571,6.9965870307167055,4.0,3.0
16,2021-01-25,2021-01-29,5,2,3.360093920275365,1.3321517883100122,-6.946688206785145,0.1615508885298933,5.331179321486257,1,14.035087719298268,-19.440559440559447,2.0,5.0
17,2021-02-01,2021-02-01,1,0,1.1914721162846935,-6.94668820678514,6.944444444444442,5.902777777777768,5.902777777777768,0,,,,
18,2021-03-15,2021-03-19,5,0,2.798293823197713,2.93309798484771,6.982543640897765,22.069825436408962,37.780548628428946,0,8.672086720867211,6.982543640897765,4.0,3.0
19,2021-03-22,2021-03-26,5,4,2.84689862819796,6.6207261272325795,6.7873303167420795,15.384615384615374,10.40723981900451,0,28.787878787878785,6.7873303167420795,4.0,3.0
20,2021-03-29,2021-03-31,3,2,3.4849128066917907,4.91915584138913,-5.490196078431364,-1.9607843137254943,-9.80392156862745,1,8.05084745762712,-5.490196078431364,2.0,1.0
21,2021-04-16,2021-04-16,1,0,2.719913913649916,4.52830188679245,-5.415162454873645,-12.274368231046928,-15.523465703971118,1,0.0,-12.274368231046928,0.0,6.0
22,2021-06-02,2021-06-03,2,0,2.416037998431108,6.93188241944601,2.508960573476715,-8.960573476702505,-6.093189964157708,1,6.896551724137923,-8.960573476702505,1.0,5.0
23,2021-06-17,2021-06-18,2,0,1.8773656566257289,4.985157699443414,-4.950495049504955,-9.570957095709575,-7.920792079207928,0,,,,
24,2021-09-22,2021-09-23,2,0,1.2444678006302226,1.2750210905744297,1.327433628318575,-4.424778761061942,-3.9823008849557584,0,,,,
25,2021-10-11,2021-10-12,2,0,1.0361018221529594,4.52404158544509,-2.8112449799196804,-3.6144578313252906,-6.024096385542165,0,,,,
26,2021-11-08,2021-11-08,1,0,2.0701857198617257,5.17928286852589,0.0,3.7878787878787845,12.5,0,0.0,-1.5151515151515138,0.0,2.0
27,2021-11-11,2021-11-11,1,0,1.5388899193562071,5.38461538461538,1.4598540145985384,5.474452554744524,13.868613138686126,0,,,,
28,2021-11-15,2021-11-19,5,2,2.109685901171241,4.189868879555488,-6.060606060606055,-10.303030303030303,-8.18181818181818,1,11.111111111111116,-10.909090909090914,4.0,4.0
29,2021-11-22,2021-11-22,1,0,2.382347173995308,-6.06060606060605,-5.161290322580648,1.2903225806451646,-2.9032258064516037,1,0.0,-5.161290322580648,0.0,1.0
30,2021-12-13,2021-12-13,1,0,1.1087324030463972,7.000000000000001,-1.5576323987538943,8.411214953271017,11.838006230529597,0,,,,
31,2021-12-16,2021-12-16,1,0,1.4989971353321,6.74846625766869,-2.298850574712641,3.4482758620689724,0.5747126436781658,0,,,,
32,2022-01-05,2022-01-07,3,1,2.072379368860464,6.441303190815316,-6.208425720620847,-17.738359201773836,-28.60310421286031,1,12.749999999999995,-17.738359201773836,2.0,5.0
33,2022-01-10,2022-01-14,5,2,7.944496689535874,-6.515494292521789,-6.832298136645976,-19.254658385093173,-19.875776397515533,1,0.0,-18.20330969267139,0.0,3.0
34,2022-01-17,2022-01-21,5,1,2.019714948008564,-4.190768130816582,-6.976744186046513,-16.666666666666675,-13.953488372093027,1,0.0,-19.333333333333336,0.0,3.0
35,2022-01-24,2022-01-25,2,0,0.1451278349827692,-6.821705426356589,-4.01785714285714,-0.8928571428571397,7.14285714285714,0,,,,
36,2022-01-28,2022-01-28,1,0,-0.0177890809290993,6.730769230769219,6.756756756756754,8.558558558558559,8.108108108108114,0,,,,
37,2022-03-17,2022-03-18,2,0,0.903998803534888,4.602363782051275,6.785714285714284,3.571428571428581,4.285714285714293,0,,,,
38,2022-03-21,2022-03-21,1,0,0.4777976446963022,6.785714285714279,-3.0100334448160515,-4.347826086956507,-9.030100334448154,0,,,,
39,2022-04-01,2022-04-01,1,1,3.58486350141159,-1.36363636363636,6.912442396313367,-2.304147465437789,-10.414746543778797,0,0.0,-2.304147465437789,0.0,5.0
40,2022-04-06,2022-04-06,1,0,1.295901375533176,-6.60792951541849,-1.4150943396226467,-14.71698113207548,-16.320754716981135,0,,,,
41,2022-04-22,2022-04-22,1,0,0.6881630925168644,6.946688206785121,2.8700906344410804,17.52265861027191,33.232628398791555,0,,,,
42,2022-06-29,2022-06-29,1,0,0.5723745286796263,6.99432892249527,1.590106007067127,9.540636042402827,11.307420494699638,0,,,,
43,2022-07-05,2022-07-05,1,0,0.1848252423050115,5.64516129032257,-3.8167938931297662,-7.938931297709917,-9.007633587786257,0,,,,
44,2022-08-25,2022-08-25,1,0,0.9057132357005736,-6.846473029045639,-6.9042316258352,-10.467706013363042,-17.149220489977722,0,,,,
45,2022-09-07,2022-09-08,2,0,0.783956255165703,1.7090097262123152,0.0,0.0,0.0,0,,,,
