cluster_id,start_date,end_date,length_days,n_high_days,max_vol_z,avg_ret_%,post_1d_%,post_3d_%,post_5d_%,pump_dump,pump_pct_%,dump_pct_%,time_to_peak_days,time_to_dump_days
23,2021-12-06,2021-12-06,1,0,2.8328524942894324,-6.0420361597890295,8.57409240953424,20.41007108562447,10.717619955880341,0,0.0,8.57409240953424,0.0,1.0
24,2022-01-19,2022-01-20,2,0,2.777107372759258,4.99385363119951,-6.858199941931042,-19.36978832230657,-19.36978832230657,1,0.0,-22.869566212529723,0.0,5.0
25,2022-01-24,2022-01-24,1,0,3.162687626097385,-11.74129634607995,-1.916573601886018,-1.916573601886018,26.26831965916303,0,0.0,-1.916573601886018,0.0,1.0
26,2022-01-31,2022-01-31,1,0,1.2118464731081768,16.78831732075398,-2.767852421621808,-1.7857126131349377,6.071431399608196,0,,,,
27,2022-03-10,2022-03-11,2,1,4.504333272987792,-15.408515889681446,-19.618707176101314,21.988925068508113,33.453557148070324,1,0.0,-32.75862122120672,0.0,4.0
28,2022-03-14,2022-03-16,3,3,6.276396366829392,10.189464027367057,-4.963043862471506,6.124603034335796,15.100309516148759,0,51.76283035875579,-4.963043862471506,2.0,1.0
29,2022-06-01,2022-06-01,1,0,0.8202633042643533,8.50851252196362,8.118082122266678,10.701105452799986,17.158668177999957,0,,,,
30,2022-08-08,2022-08-08,1,1,4.866344528714155,11.98851428361742,-3.20512812675261,-2.948718121144278,-8.653848387550745,0,0.0,-4.102566203030178,0.0,2.0
31,2022-10-24,2022-10-24,1,1,4.782055841002863,-13.53285581778256,2.3325840519677232,15.048908997296495,13.544019532742645,0,0.0,2.3325840519677232,0.0,1.0
32,2022-11-04,2022-11-04,1,0,1.2025930481063465,11.93749904632568,1.9542176686299761,-0.8933548228657773,-2.8475724914957423,0,,,,
33,2022-12-02,2022-12-02,1,0,1.8426065652109296,9.026372964628269,-0.372092668400259,6.86046689055686,16.00000248398892,0,,,,
34,2023-02-01,2023-02-02,2,0,1.5756091716599951,9.508024411385124,-3.3287135462623962,-2.0457702824767443,0.5201096315417875,0,,,,
