Date,Adj Close,Close,High,Low,Open,Volume,gap_days
2023-10-23,60073.4140625,70200.0,72000.0,70100.0,71700.0,2804900,3.0
2023-10-24,60158.984375,70300.0,70800.0,70100.0,70200.0,1099508,1.0
2023-10-25,59046.51953125,69000.0,70800.0,69000.0,70300.0,2477700,1.0
2023-10-26,57335.02734375,67000.0,68600.0,65900.0,68500.0,5201700,1.0
2023-10-27,58190.7734375,68000.0,68000.0,66600.0,67300.0,1811000,1.0
2023-10-30,57848.47265625,67600.0,68000.0,67100.0,67900.0,1112000,3.0
2023-10-31,58190.7734375,68000.0,69500.0,67600.0,67900.0,2183600,1.0
2023-11-01,60244.5703125,70400.0,70500.0,67900.0,69000.0,2337200,1.0
2023-11-02,60672.44140625,70900.0,70900.0,69800.0,70500.0,2390200,1.0
2023-11-03,59902.26953125,70000.0,70900.0,69800.0,70900.0,1692700,1.0
2023-11-06,60758.015625,71000.0,71500.0,70100.0,70200.0,1136800,3.0
2023-11-07,60586.86328125,70800.0,70800.0,69800.0,70500.0,1474700,1.0
2023-11-08,61100.3125,71400.0,71500.0,69800.0,70800.0,2339600,1.0
2023-11-09,60501.28515625,70700.0,72100.0,70700.0,71600.0,3420100,1.0
2023-11-10,59559.96875,69600.0,70800.0,69600.0,70800.0,2833100,1.0
2023-11-13,58789.78515625,68700.0,70000.0,68600.0,69700.0,1730800,3.0
2023-11-14,58960.94921875,68900.0,69400.0,68200.0,69000.0,2996000,1.0
2023-11-15,60501.28515625,70700.0,71800.0,70000.0,70000.0,3949400,1.0
2023-11-16,60158.984375,70300.0,71300.0,69900.0,70600.0,2368200,1.0
2023-11-17,59902.26953125,70000.0,71100.0,69200.0,71000.0,2335800,1.0
2023-11-20,59303.24609375,69300.0,69900.0,69000.0,69200.0,2001000,3.0
2023-11-21,59474.39453125,69500.0,69800.0,68900.0,69400.0,2989800,1.0
2023-11-22,59388.81640625,69400.0,70200.0,69000.0,69500.0,1533200,1.0
2023-11-23,58789.78515625,68700.0,69900.0,68700.0,69800.0,1653100,1.0
2023-11-24,58447.5,68300.0,68900.0,67600.0,68600.0,3128900,1.0
2023-11-27,58276.3515625,68100.0,68400.0,67900.0,68300.0,1333300,3.0
2023-11-28,58618.64453125,68500.0,68500.0,67500.0,68100.0,2192953,1.0
2023-11-29,58533.07421875,68400.0,68800.0,68200.0,68500.0,1419153,1.0
2023-11-30,57677.32421875,67400.0,68700.0,67400.0,68400.0,2630600,1.0
2023-12-01,58533.07421875,68400.0,68500.0,67700.0,68000.0,1558800,1.0
2023-12-04,58875.3671875,68800.0,69500.0,68400.0,68500.0,3006600,3.0
2023-12-05,58276.3515625,68100.0,69000.0,68000.0,68800.0,2302100,1.0
2023-12-06,58618.64453125,68500.0,68600.0,68100.0,68100.0,1606600,1.0
2023-12-07,58533.07421875,68400.0,68800.0,67500.0,68800.0,3921300,1.0
2023-12-08,59046.51953125,69000.0,69300.0,68000.0,68400.0,3729400,1.0
2023-12-11,59902.26953125,70000.0,70500.0,69900.0,70500.0,4763200,3.0
2023-12-12,59388.81640625,69400.0,70100.0,69000.0,70000.0,2788700,1.0
2023-12-13,58361.91796875,68200.0,69700.0,68100.0,69600.0,4601000,1.0
2023-12-15,58276.3515625,68100.0,68600.0,68100.0,68500.0,4122500,2.0
2023-12-18,57335.02734375,67000.0,68200.0,67000.0,68100.0,3613100,3.0
2023-12-19,57335.02734375,67000.0,67400.0,66300.0,67100.0,3151900,1.0
